Step,AgentID,FirmType,Profit,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare
10,20,necessity,-3080091.6759013557,,,,,,,,,
10,21,necessity,-2545819.1718588374,,,,,,,,,
10,22,necessity,-2518242.7207720224,,,,,,,,,
10,23,necessity,-1372078.3449320227,,,,,,,,,
10,24,necessity,-1175530.1865281698,,,,,,,,,
10,25,necessity,-1505225.8795686262,,,,,,,,,
10,26,necessity,-1662602.5079018916,,,,,,,,,
10,27,necessity,-1742049.232226309,,,,,,,,,
10,28,necessity,-2471282.148810977,,,,,,,,,
10,29,necessity,-2904601.4316861858,,,,,,,,,
10,30,necessity,-1603428.3719318332,,,,,,,,,
10,31,necessity,-2568771.2327886634,,,,,,,,,
10,32,luxury,-851919.4744617977,,,,,,,,,
10,33,luxury,-891679.9541593319,,,,,,,,,
10,34,luxury,-927607.8817925256,,,,,,,,,
10,35,luxury,-1534545.9553649428,,,,,,,,,
10,36,luxury,-2407507.2406302956,,,,,,,,,
10,37,luxury,-1448826.348885984,,,,,,,,,
10,38,luxury,-2404973.1340044285,,,,,,,,,
10,39,luxury,-1370921.5568438442,,,,,,,,,
10,40,luxury,-1868148.8139021436,,,,,,,,,
10,41,luxury,-1378378.9417461217,,,,,,,,,
10,42,luxury,-2142438.1299845157,,,,,,,,,
10,43,luxury,-1509102.8508328032,,,,,,,,,
10,44,luxury,-655448.8107511632,,,,,,,,,
10,45,luxury,-2731521.2572935433,,,,,,,,,
10,46,luxury,-611853.4681966422,,,,,,,,,
10,47,luxury,-1630173.6061861592,,,,,,,,,
10,48,luxury,-892780.7924915468,,,,,,,,,
10,49,luxury,-1653420.2902414391,,,,,,,,,
10,50,luxury,-1735107.6942824223,,,,,,,,,
10,51,luxury,-803207.7044223988,,,,,,,,,
11,2,necessity,-2672078.8091120287,,,,,,,,,
11,3,necessity,-1628235.2042909632,,,,,,,,,
11,4,necessity,-2052076.928370357,,,,,,,,,
11,5,necessity,-3251684.4266378633,,,,,,,,,
11,6,necessity,-2513530.3433803036,,,,,,,,,
11,7,necessity,-2531202.043823141,,,,,,,,,
11,8,necessity,-2564765.6649194574,,,,,,,,,
11,9,necessity,-1605548.4690307248,,,,,,,,,
11,10,necessity,-2723607.7201912757,,,,,,,,,
11,11,necessity,-2535200.0504547204,,,,,,,,,
11,12,necessity,-1587850.5756606157,,,,,,,,,
11,13,necessity,-1651115.1388065564,,,,,,,,,
11,14,necessity,-2900132.329001141,,,,,,,,,
11,15,necessity,-2490085.9601390543,,,,,,,,,
11,16,necessity,-1647974.5157347606,,,,,,,,,
